time_ms,pitch_deg,vel_left,vel_right,ax,ay,az
20880,0.11551341509962429,0.0,0.0,-0.02,0.06,9.92
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20890,-0.22621599788538793,0.0,0.0,0.04,0.15,10.13
20910,-1.9597131753083616,0.48,0.75,0.28,-1.47,8.05
20920,-5.469406906187701,1.56,2.78,1.18,-3.81,11.72
20930,-3.22327109634537,1.52,3.6,0.48,-0.63,8.5
20940,4.54045089318343,1.59,4.06,-0.95,-0.74,11.94
20950,-2.4474581672570532,1.69,3.77,0.44,-1.39,10.2
20960,2.898728040846376,1.77,3.76,-0.45,-0.55,8.87
20970,1.9814423240987875,1.85,3.79,-0.39,-1.09,11.22
20980,-6.1861908658106834,1.95,3.65,1.03,0.49,9.49
20990,5.82265699173586,2.14,3.58,-1.09,-0.91,10.65
21000,-2.5973879312848083,2.44,3.57,0.43,0.41,9.47
21010,0.9062808493106999,2.57,3.63,-0.15,-0.21,9.48
21020,-0.6376165543635758,2.71,3.66,0.12,0.24,10.78
21030,-2.5982730307035333,2.79,3.74,0.42,-1.01,9.2
21040,4.535993715645937,2.85,3.79,-0.84,-0.62,10.57
