Timestamp_ms,MotorLeft_Vel,MotorRight_Vel,AccelX,AccelY,AccelZ
1398025,0.63,0.81,0.09,-0.05,9.75
1398035,0.69,0.84,0.13,-0.07,9.72
1398045,0.68,0.89,0.05,-0.11,9.64
1398055,0.77,1.03,0.20,-0.03,9.70
1398065,0.88,1.09,0.15,0.04,9.75
1398075,1.02,1.14,0.20,0.03,9.64
1398085,1.16,1.29,0.28,0.17,9.66
1398095,1.29,1.37,0.25,0.10,9.80
1398105,1.46,1.52,0.15,0.44,9.81
1398115,1.53,1.64,0.12,0.55,9.75
1398125,1.56,1.74,0.07,0.44,9.79
1398135,1.60,1.78,0.04,-0.08,9.81
1398145,1.70,1.81,0.13,-0.30,9.80
1398155,1.74,1.80,0.08,-0.57,9.78
1398165,1.79,1.75,0.14,-0.58,9.80
1398175,1.85,1.75,0.12,-0.46,9.82
1398185,1.82,1.65,0.13,-0.09,9.91
1398195,1.79,1.57,0.25,0.01,10.00
1398205,1.73,1.46,-0.07,0.60,10.13
1398215,1.64,1.42,0.12,0.87,10.04
1398225,1.46,1.31,0.07,0.71,9.89
1398235,1.34,1.26,0.16,0.44,9.78
1398245,1.30,1.18,0.09,0.03,9.89
1398255,1.18,1.17,0.18,-0.31,9.71
1398308,1.32,1.27,0.32,0.63,9.69
1398318,1.36,1.39,0.36,0.77,9.84
1398328,1.35,1.49,0.33,0.85,9.81
1398338,1.35,1.55,0.28,0.27,9.83
1398348,1.42,1.54,0.06,0.01,9.93
1398358,1.41,1.53,0.19,-0.78,9.91
1398368,1.39,1.48,0.18,-0.83,9.81
1398378,1.38,1.40,0.31,-0.56,9.98
1398388,1.37,1.27,0.18,-0.15,9.79
1398398,1.36,1.19,0.30,0.38,9.98
1398408,1.30,1.15,0.20,0.64,9.89
1398418,1.21,1.07,0.36,0.82,9.90
1398428,1.13,0.97,0.13,0.79,9.95
1398438,0.98,0.93,0.29,0.55,9.85
1398448,0.83,0.85,0.27,0.09,9.88
1398458,0.75,0.82,0.17,-0.20,9.86
1398468,0.64,0.75,0.26,-0.35,9.76
1398478,0.63,0.68,0.27,-0.31,9.78
1398488,0.62,0.70,0.29,-0.15,9.74
1398498,0.62,0.67,0.21,0.08,9.73
1398508,0.62,0.67,0.39,0.25,9.65
1398518,0.68,0.65,0.29,0.33,9.82
1398528,0.66,0.63,0.35,0.29,9.71
1398538,0.71,0.69,0.39,0.18,9.59
1398548,0.74,0.73,0.36,0.06,9.72
1398558,0.74,0.74,0.39,0.04,9.76
1398568,0.80,0.79,0.37,0.10,9.71
1398578,0.80,0.85,0.36,0.10,9.80
1398588,0.76,0.86,0.20,0.19,9.95
1398598,0.76,0.88,0.49,0.39,9.78
1398608,0.71,0.90,0.40,0.49,9.75
1398618,0.66,0.92,0.19,0.37,9.97
1398628,0.56,0.90,0.32,0.24,9.87
1398638,0.55,0.88,0.19,0.00,9.91
1398648,0.40,0.78,0.17,-0.05,9.97
1398658,0.24,0.70,0.19,-0.16,10.00
1398668,0.15,0.55,0.21,-0.10,9.92
1398678,0.02,0.45,0.26,-0.06,9.88
